x,y,pts_crs,naip_id,aoi,r,g,b,nir,ndvi,year,month,day_in_year,iceplant,r_avg13,r_entr13,g_avg13,g_entr13,b_avg13,b_entr13,nir_avg13,nir_entr13,ndvi_avg13,ndvi_entr13
-120.0209497606606,34.465924816451654,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,117,127,105,144,0.1034482758620689,2020,5,143,0.0,123.34911,4.8503246,133.98225,4.8269477,107.01183,3.9695942,148.01775,5.4404144,0.088757396,3.9740086
-120.00253902861274,34.46440511042532,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,148,152,116,165,0.0543130990415335,2020,5,143,0.0,135.56805,5.1666226,143.8284,5.132707,110.31953,4.9353046,166.91124,5.146606,0.10059172,4.510101
-120.06362982928852,34.47014197695589,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,125,130,105,162,0.1289198606271777,2020,5,143,0.0,139.8639,5.1219172,137.2426,4.5167184,120.23077,4.8575187,156.67456,4.7705054,0.053254437,4.162578
-120.06363478048802,34.47038458573153,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,146,142,123,166,0.0641025641025641,2020,5,143,0.0,150.62721,5.0954,143.4497,4.5229464,127.94675,4.840932,159.9349,4.273396,0.0295858,4.0970416
-120.04716925252762,34.47099351150399,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,128,114,106,146,0.0656934306569343,2020,5,143,0.0,125.8284,4.3764544,112.68639,4.4867024,103.71597,4.200513,141.75148,5.256088,0.053254437,4.3199024
-120.05131461699555,34.46979572800559,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,128,120,107,155,0.0954063604240282,2020,5,143,0.0,128.68639,4.158703,122.53255,4.3794622,110.63313,3.893795,151.43195,5.329455,0.07692308,4.0785117
-119.9976491283489,34.46495142287509,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,154,144,121,167,0.0404984423676012,2020,5,143,0.0,123.4142,5.637447,125.06509,5.267106,102.53255,5.140988,173.23668,4.628119,0.17751479,4.931114
-120.04901679907384,34.4706880281566,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,91,108,98,140,0.2121212121212121,2020,5,143,0.0,143.0355,5.8095875,145.43787,5.6121836,133.28403,5.6217437,151.31952,5.156203,0.03550296,4.642465
-120.0473659335869,34.47081147690657,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,130,113,104,159,0.1003460207612456,2020,5,143,0.0,138.95857,4.792828,122.11243,4.749902,110.0355,4.7628803,154.94675,4.8685374,0.053254437,4.4959474
-120.0519621320758,34.4698139038675,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,122,125,107,169,0.1615120274914089,2020,5,143,0.0,134.48521,5.1797233,128.36095,4.953603,113.92899,4.866565,162.6568,4.444153,0.09467456,4.423717
-120.05118666653355,34.46393638620636,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,151,159,134,187,0.1065088757396449,2020,5,143,0.0,153.83432,5.467593,159.89941,4.977011,144.61539,5.2809806,174.97633,4.8477783,0.06508876,4.927882
-120.04933209869064,34.46410907440017,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,118,129,114,177,0.2,2020,5,143,0.0,141.7574,5.661826,143.23668,5.0590553,127.52071,5.211438,162.0355,5.018744,0.06508876,4.7213135
-119.99714807241502,34.46398538287349,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,125,130,106,182,0.1856677524429967,2020,5,143,0.0,150.15976,5.1592245,150.43195,4.8304267,127.36095,5.0176945,166.929,4.953089,0.053254437,4.499594
-120.00176001814962,34.46418150557017,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,140,149,105,168,0.0909090909090909,2020,5,143,0.0,128.29585,4.217162,136.05325,4.2174964,101.12426,3.840166,158.26627,4.7002225,0.10059172,3.3179483
-119.99933090867118,34.46648702410806,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,90,114,79,176,0.3233082706766917,2020,5,143,0.0,87.16568,5.3163786,109.12426,4.92106,89.64497,4.649609,145.21893,5.6100454,0.20710059,5.4218316
-119.99724653541745,34.464358432840385,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,83,109,77,187,0.3851851851851852,2020,5,143,0.0,108.76331,5.491744,122.24852,5.155461,98.27811,4.8359137,168.76332,5.0723915,0.23076923,5.02409
-120.05904706079988,34.46771128251627,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,138,129,120,150,0.0416666666666666,2020,5,143,0.0,134.0651,4.8701005,131.95857,4.1354327,115.83432,4.663429,159.6568,4.699339,0.082840234,4.2532783
-119.83922222960474,34.418690426639515,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,120,119,92,168,0.1666666666666666,2020,5,142,0.0,69.63313,4.9868503,84.29586,4.816119,74.34319,3.9143481,90.36687,5.1190615,-0.0591716,5.1979356
-119.8737769037119,34.4125592409533,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,76,99,72,175,0.3944223107569721,2020,5,142,0.0,74.39053,4.677696,95.52663,4.240787,70.42603,3.505097,171.1716,4.219006,0.39053255,4.110707
-119.86870851066608,34.41280363866854,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,90,88,80,165,0.2941176470588235,2020,5,142,0.0,93.05917,5.130711,94.26035,4.7565703,79.23669,4.3460116,154.61539,5.1458397,0.24852072,4.620489
-119.81134257296402,34.42175813517373,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,142,138,124,152,0.0340136054421768,2020,5,142,0.0,133.04733,5.698108,132.32544,5.829795,120.3787,5.8254566,143.6509,5.4699354,0.04733728,4.7274013
-119.87343800623294,34.412476068311946,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,66,82,65,158,0.4107142857142857,2020,5,142,0.0,69.05917,4.728223,90.86982,4.319234,67.73373,3.6459994,169.7219,4.1796,0.42011833,4.008764
-119.8521213944164,34.414494779464185,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,103,99,88,146,0.1726907630522088,2020,5,142,0.0,95.31361,5.217748,97.48521,4.6099596,87.6213,4.9051895,146.59172,5.1283126,0.21301775,4.757145
-119.85876276879516,34.41502528944839,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,88,102,84,178,0.3383458646616541,2020,5,142,0.0,128.94675,5.736961,136.24852,5.514665,125.65681,5.6452394,144.72781,5.679754,0.04733728,5.1470146
-119.85060054695796,34.408334773089514,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,77,86,78,118,0.2102564102564102,2020,5,142,0.0,75.18343,4.982296,84.09467,4.7014766,75.25444,4.2907767,138.2071,5.724484,0.28994083,4.5342073
-119.8611252222073,34.41278348137107,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,85,93,87,122,0.178743961352657,2020,5,142,0.0,123.99408,5.094837,123.66864,5.0115886,106.39645,4.701847,132.19527,5.3286514,0.0295858,4.7435794
-119.87243025933238,34.41319734717073,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,95,97,77,156,0.2430278884462151,2020,5,142,0.0,112.97633,5.436818,109.50296,5.033947,93.05917,5.0044236,137.90532,5.2214313,0.082840234,4.975986
-119.87326297127127,34.4123221368563,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,66,82,66,169,0.4382978723404255,2020,5,142,0.0,71.80473,5.3190913,90.45562,4.709987,68.3787,4.1782055,167.81657,3.849577,0.40236688,4.712149
-119.87392835240212,34.412253860807425,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,73,95,72,167,0.3916666666666666,2020,5,142,0.0,91.6213,5.2333097,101.62722,4.539984,82.05325,4.2719083,153.51479,4.9510074,0.24852072,4.898139
-119.87217074272831,34.41217410965694,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,78,94,71,176,0.3858267716535433,2020,5,142,0.0,97.57988,5.418915,108.92308,4.8969455,87.60947,4.7342906,170.13017,4.4407215,0.2781065,4.552833
-119.87307162576975,34.41224223815741,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,100,99,79,155,0.2156862745098039,2020,5,142,0.0,118.15976,5.7864623,119.23077,5.3120403,100.73965,5.2497544,156.08876,5.053463,0.15384616,4.748407
-119.87212861484078,34.41202766509543,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,105,100,83,152,0.1828793774319066,2020,5,142,0.0,115.93491,5.6873183,116.62722,5.250434,96.64497,5.305075,150.90532,5.3379025,0.13609467,4.988117
-119.84200359732114,34.415835193919634,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,112,116,99,176,0.2222222222222222,2020,5,142,0.0,118.6213,5.2524047,120.55621,5.267106,109.22485,5.1973977,159.24852,5.115892,0.15384616,4.646816
-119.82453135696746,34.41846202171367,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,81,107,77,178,0.3745173745173745,2020,5,142,0.0,106.54438,5.234335,111.59171,4.616949,93.53255,4.6359158,144.3077,5.657488,0.14201184,4.9940553
-119.832044717436,34.42167986598269,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,134,122,108,143,0.0324909747292418,2020,5,142,0.0,123.78698,5.442985,125.71597,5.332106,106.83432,5.4711285,146.52663,5.3044763,0.082840234,4.2890534
-119.87228688964984,34.4132019719992,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,78,96,74,177,0.388235294117647,2020,5,142,0.0,110.39645,5.7494383,110.46745,5.090258,94.28403,5.22326,142.63905,5.2858324,0.112426035,5.2929444
-119.83889477581242,34.42126503208164,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,95,109,88,161,0.2578125,2020,5,142,0.0,110.13018,5.379611,117.69823,4.977444,103.04734,5.0315685,137.18343,5.06882,0.10650887,4.7686863
-119.85117990728511,34.410938288584504,EPSG:4326,ca_m_3411934_sw_11_060_20200521,campus_lagoon,71,90,72,161,0.3879310344827586,2020,5,142,0.0,85.94083,5.4141254,98.87574,5.025153,82.94083,4.482404,156.95267,5.2517495,0.30769232,4.81028
